subscriber_id,age_group,engagement_time,engagement_frequency,subscription_status
16723,35 and over,5.48,14,subscribed
14390,under 18,6.53,16,subscribed
17746,35 and over,4.09,5,churned
15229,35 and over,2.99,3,churned
12577,under 18,5.48,8,churned
12556,35 and over,4.83,5,churned
11320,18-34,8.95,8,subscribed
13889,18-34,8.39,8,churned
10027,35 and over,4.37,10,subscribed
16967,35 and over,3.38,5,churned
16757,18-34,9.37,22,subscribed
11296,18-34,4.95,4,churned
15919,18-34,11.69,18,subscribed
15996,18-34,9.57,13,subscribed
16391,under 18,4.99,23,subscribed
17880,18-34,4.74,6,churned
10979,35 and over,1.8,2,churned
14498,18-34,8.16,21,subscribed
13365,18-34,3.67,7,subscribed
15929,under 18,6.2,10,subscribed
14449,18-34,7.61,8,subscribed
18006,18-34,4.46,7,churned
13335,35 and over,7.59,8,subscribed
14220,35 and over,5.87,19,subscribed
13560,35 and over,6.97,8,subscribed
10961,18-34,6.2,20,subscribed
14282,under 18,6.18,24,subscribed
17853,35 and over,2.37,5,churned
19567,under 18,5.65,5,churned
11476,under 18,6.53,16,subscribed
19102,35 and over,2.46,0,churned
12738,under 18,6.57,18,subscribed
18278,18-34,5.47,6,churned
15239,18-34,12.43,12,subscribed
16953,35 and over,3.04,16,churned
10864,18-34,7.06,9,subscribed
11115,under 18,3.54,4,churned
12388,under 18,8.26,8,churned
12851,35 and over,4.25,7,churned
17326,35 and over,2.02,9,churned
12710,18-34,6.88,5,churned
15447,under 18,5.88,3,churned
10138,35 and over,2.84,4,churned
12042,35 and over,4.24,3,churned
14283,35 and over,3.39,2,churned
14718,under 18,5.82,6,churned
10779,18-34,0.38,7,churned
17902,35 and over,1.03,7,churned
18805,35 and over,3.41,6,churned
16486,18-34,6.56,17,subscribed
19044,18-34,8.23,11,subscribed
11248,18-34,10.68,6,subscribed
11927,35 and over,2.04,5,churned
16668,18-34,7.78,16,subscribed
16230,35 and over,3.0,4,churned
15712,under 18,6.48,5,subscribed
17123,18-34,10.82,15,subscribed
18643,18-34,9.03,20,subscribed
16180,35 and over,5.55,15,subscribed
14534,35 and over,5.04,16,subscribed
12010,18-34,8.88,18,subscribed
11247,18-34,11.29,14,subscribed
11151,18-34,8.49,12,subscribed
12930,35 and over,5.53,7,subscribed
11374,35 and over,7.7,15,subscribed
17195,35 and over,4.0,5,churned
12335,18-34,8.13,16,subscribed
12099,18-34,6.47,4,churned
16296,35 and over,1.6,4,churned
14886,35 and over,5.92,7,subscribed
19641,under 18,3.01,4,churned
15481,35 and over,4.9,22,subscribed
13505,35 and over,3.71,5,churned
12951,under 18,6.23,20,subscribed
18558,35 and over,4.05,5,churned
14919,18-34,4.11,5,churned
16764,18-34,7.44,3,subscribed
18234,35 and over,2.5,26,subscribed
13515,35 and over,1.32,3,churned
17829,18-34,9.96,12,subscribed
12684,35 and over,4.17,4,churned
14064,under 18,6.03,6,subscribed
17290,18-34,5.91,19,subscribed
19253,18-34,8.64,1,churned
12284,18-34,5.21,5,subscribed
10941,18-34,7.63,14,subscribed
13362,18-34,11.42,14,subscribed
13423,under 18,6.32,12,subscribed
16406,under 18,3.55,3,churned
12050,under 18,6.89,9,subscribed
15202,18-34,10.17,17,subscribed
15541,35 and over,2.5,2,churned
17592,18-34,9.48,6,subscribed
17799,18-34,7.7,10,subscribed
11842,18-34,9.54,9,subscribed
12004,18-34,8.5,19,subscribed
14821,18-34,12.41,14,subscribed
10129,under 18,5.53,11,subscribed
15527,35 and over,4.25,22,subscribed
10905,18-34,5.21,9,subscribed
12953,18-34,10.42,13,subscribed
16259,35 and over,8.82,16,subscribed
17430,35 and over,4.0,6,churned
13606,35 and over,7.9,18,subscribed
13258,18-34,12.31,3,churned
19955,18-34,9.3,14,subscribed
14045,35 and over,4.31,12,subscribed
10800,35 and over,8.72,11,subscribed
14778,35 and over,4.19,16,subscribed
17612,35 and over,6.0,8,subscribed
10805,35 and over,2.47,5,churned
16973,35 and over,2.47,8,subscribed
13544,under 18,6.84,10,subscribed
17632,18-34,5.2,15,subscribed
18333,18-34,5.6,15,subscribed
15950,18-34,10.01,6,churned
10333,under 18,8.53,6,churned
10540,under 18,4.15,5,churned
15059,35 and over,6.45,22,subscribed
12956,under 18,5.44,13,subscribed
14614,18-34,8.54,11,subscribed
19276,18-34,6.57,15,subscribed
14061,35 and over,2.7,2,churned
14903,under 18,7.4,11,subscribed
15671,18-34,9.65,16,subscribed
10318,35 and over,3.77,11,subscribed
15309,18-34,11.48,12,subscribed
17670,under 18,11.02,2,churned
18324,18-34,8.02,21,subscribed
14585,35 and over,5.62,4,subscribed
19861,35 and over,3.62,2,churned
14420,under 18,8.95,4,churned
16159,35 and over,4.85,14,subscribed
14972,18-34,8.23,23,subscribed
13825,under 18,6.45,4,subscribed
12118,18-34,7.42,17,subscribed
11964,under 18,6.71,15,subscribed
12243,35 and over,1.58,4,churned
18581,18-34,8.56,8,churned
17256,18-34,10.43,20,subscribed
10162,18-34,8.14,6,churned
19837,35 and over,6.71,17,subscribed
12397,35 and over,3.46,3,churned
16328,35 and over,4.18,18,subscribed
14218,18-34,2.11,3,churned
17872,18-34,9.33,9,subscribed
19133,18-34,9.01,18,subscribed
14962,under 18,2.52,6,churned
17449,35 and over,5.12,13,subscribed
19198,35 and over,2.55,6,churned
10569,35 and over,4.86,7,subscribed
17146,35 and over,3.68,6,churned
10101,under 18,4.3,5,churned
19828,under 18,5.39,18,subscribed
19632,35 and over,3.81,5,churned
13680,35 and over,2.92,6,churned
15353,18-34,6.57,7,churned
10994,18-34,8.54,18,subscribed
12309,18-34,11.41,10,subscribed
10513,35 and over,4.3,6,subscribed
13129,35 and over,4.54,8,subscribed
16690,under 18,6.78,20,subscribed
16983,under 18,4.2,4,churned
13255,18-34,12.37,9,churned
15132,35 and over,2.93,6,churned
16334,under 18,6.33,15,subscribed
16558,18-34,8.31,17,subscribed
11780,35 and over,4.22,16,subscribed
11112,18-34,9.52,9,subscribed
12022,18-34,9.15,4,subscribed
18414,under 18,3.85,6,churned
17551,35 and over,3.1,4,churned
10764,under 18,7.18,22,subscribed
19054,35 and over,3.75,7,churned
11203,18-34,6.46,13,subscribed
13267,under 18,2.55,5,churned
13294,18-34,5.28,10,subscribed
11999,under 18,5.84,13,subscribed
19417,under 18,3.62,4,churned
12834,under 18,7.57,7,churned
10472,18-34,7.98,13,subscribed
14683,35 and over,2.67,2,churned
10119,18-34,7.05,2,churned
16586,35 and over,2.04,3,churned
16523,under 18,4.86,4,churned
13902,35 and over,5.23,4,churned
16729,35 and over,4.7,14,subscribed
18972,35 and over,6.76,19,subscribed
11187,18-34,5.02,5,churned
18000,under 18,4.84,17,subscribed
16741,18-34,6.83,9,subscribed
13034,18-34,7.76,7,churned
12111,35 and over,8.43,17,subscribed
10801,35 and over,2.9,6,churned
13884,under 18,7.63,14,subscribed
18109,18-34,6.63,7,subscribed
19966,under 18,7.29,8,subscribed
13934,35 and over,8.81,11,subscribed
10271,under 18,3.52,5,churned
17439,35 and over,3.12,23,subscribed
10112,35 and over,5.25,8,subscribed
10692,35 and over,2.37,5,churned
11164,18-34,8.19,8,subscribed
14958,35 and over,3.78,8,churned
